docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder	Folder	Trimmed	isbio	passagefails	worderrors
wu.89075700179	Smiles, Samuel,		Life of a Scotch naturalist	1877		London;J. Murray;1877.	Smiles, Samuel | Life of a Scotch Naturalist	<blank>	49154							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.12076333333333333	0.010067777777777778
loc.ark+=13960=t0sq92228	Abbott, Henry	-1850	Lost Pond	1915	1915.0	New York;1915.	Abbott, Henry | Lost Pond		34669	0.81619061	0.028866587		Description and travel|Adirondack Mountains (N.Y.)		1.0	bio		m		very short	ted	gutenbiotrimmed	Trimmed	True	0.01483	0.01544
uc2.ark+=13960=t1ng4j98t	Graham, Isabella	1742-1814	The Power of Faith Exemplified in the Life and Writings of the Late Mrs Isabella Graham, of New York.	1814	1819.0				16276							bio		f			ted	18cgutenbergtrimmed	Trimmed	True	0.2351275	0.01641375
uc1.31970006034596	Rousseau, Jean-Jaques		The Confessions, vol 1 of 2 (truncate gutenberg)	1782	1903.0	Aldus edition			3913							bio|c19		m						True	0.03536299999999999	0.014515
loc.ark+=13960=t5p851b8s	Reid, Stuart J.		Lord John Russell	1895		New York;Harper & brothers;1	Reid, Stuart J. | Lord John Russell	<blank>	27553							bio		u			morgan	gutenbiotrimmed	Trimmed	True	0.09065	0.011636666666666665
mdp.39015063991296	Yeats-Brown, Francis,		Caught by the Turks	1920		New York;The Macmillian comp	Yeats-Brown, Francis | Caught by the Turks	<blank>	37343							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.04117	0.013062500000000001
njp.32101079814032	Cumberland, Richard	1732-1811	Anecdotes of Eminent Painters in Spain, vol. 2	1782	1782.0	London: J Walter			CumbRAE2bio							bio|c18		m						True	0.02407	0.07123499999999999
wu.89094739331	Duffy, Bella		Madame de Staël	1887	1887.0	Boston;Roberts brothers;1887	Duffy, Bella | Madame de Staël		56605	0.841510685	0.002480097		1766-1817|Madame de|(Anne-Louise-Germaine)|Sta????l|Staël		1.0	bio		f			ted	gutenbiotrimmed	Trimmed	True	0.133785	0.021325
aeu.ark+=13960=t2891rv51	Kippis, Andrew	1725-1795	A Narrative of the Voyages around the World Performed by Captain James Cook	1788	1822.0				7777							bio		m			ted	18cgutenbergtrimmed	Trimmed	True	0.03832833333333333	0.03130416666666667
mdp.39015066051429	MacLane, Mary	1881-1929.	The story of Mary MacLane	1902	1902.0	Chicago;Herbert S. Stone and	MacLane, Mary | The Story of Mary MacLane		43696	0.857964375	0.025101956				2.0	bio		f			peizhen	gutenbiotrimmed	Trimmed	True	0.008483333333333334	0.013693333333333333
